Draft.Side
"[10, 34, 62, 118, 37, 89, 104, 47, 101, 76, 111, 95, 65,  44, 9, 105, 73, 40, 117, 57]",0
"[34, 89, 76, 104, 111, 47, 118, 52, 117, 9, 101, 119, 10, 114, 62, 65, 40, 105, 26, 102]",1
"[10, 34, 62, 118, 47, 89, 104, 117, 101, 76, 52, 37, 65, 78, 9, 20, 105, 87, 40, 44]",0
"[34, 62, 76, 10, 118, 89, 104, 101, 117, 47, 52, 119, 78, 40, 74, 114, 14, 20, 73, 100]",1
"[34, 10, 76, 62, 89, 118, 117, 104, 101, 17, 78, 9, 65, 110, 75, 31, 100, 111, 105, 20]",1
"[17, 34, 10, 76, 62, 89, 118, 111, 117, 101, 9, 78, 110, 65, 40, 119, 105, 31, 55, 81]",0
"[34, 10, 76, 62, 119, 17, 118, 89, 104, 20, 52, 111, 74, 9, 47, 117, 87, 82, 40, 110]",1
"[17, 34, 89, 62, 10, 117, 118, 101, 47, 76, 111, 119, 87, 78, 65, 20, 114, 9, 40, 44]",0
"[17,  101, 62, 89, 119, 111, 118, 104, 76, 52, 117, 105, 114, 10, 65, 78, 110, 34, 31, 87]",0
"[119, 17, 101, 89, 76, 62, 118, 111, 104, 117, 40, 65, 10, 9, 78, 34, 20, 37, 110, 52]",1
"[17, 118, 62, 119, 104, 89, 101, 76, 37, 34, 117, 105, 97, 10, 100, 20, 44, 82, 65, 21]",0
"[119, 17, 76, 89, 118, 62, 111, 101, 104, 47, 65, 117, 78, 100, 20, 105, 40, 110, 97, 34]",1
"[17, 117, 62, 34, 89, 118, 119, 101, 76, 9, 111, 65, 40, 104, 47, 53, 82, 102, 100, 87]",0
"[34, 17, 118, 89, 37, 62, 117, 101, 119, 105, 26, 76, 111, 65, 104, 9, 40, 52, 47, 80]",1
"[17, 117, 62, 34, 119, 101, 118, 89, 111, 76, 52, 9, 99, 10, 74, 78, 37, 47, 65, 55]",0
"[62, 34, 10, 48, 63, 118, 89, 119, 20, 104, 76, 111, 101, 114, 52, 105, 53, 117, 115, 21]",0
"[34, 62, 48, 10, 76, 89, 118, 20, 111, 119, 105, 97, 24, 9, 101, 40, 100, 63, 26, 99]",1
